Time,FlowSensor
228,129.10
1244,129.10
2262,128.40
3278,128.95
4296,129.10
5313,129.05
6331,129.05
7348,128.95
8366,129.00
9382,128.85
10400,129.15
11418,128.30
12437,127.25
13456,127.10
14474,127.15
15493,127.10
16510,127.40
17529,126.90
18548,127.20
19566,127.15
20585,127.05
21603,127.40
22622,127.25
23640,127.00
24658,126.85
25677,126.75
26695,127.05
27714,126.70
28732,126.80
29751,126.90
30769,126.75
31788,126.85
32806,126.65
33824,126.80
34843,126.75
35861,126.50
36880,126.65
37899,126.80
38917,126.85
39936,126.55
40953,126.65
41972,126.70
42990,126.55
44009,127.55
45028,126.00
